model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
gpt-4.1-mini,openai,0.25,coord_first,8,904,2712,4096,0.9,0.9,4026,665,8578.370457995334,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,6,904,2712,4096,1.0,1.0,4026,685,18952.967165998416,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,5,2712,904,4096,1.0,1.0,4075,756,15618.209875006869,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,10,2712,904,4096,1.0,1.0,4075,850,11228.586416000326,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,2,3254,362,4096,1.0,1.0,4090,790,12446.740166997188,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,6,0,3616,4096,1.0,1.0,3999,754,12927.597207999497,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,9,1808,1808,4096,1.0,1.0,4048,683,9103.042832997744,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,6,2712,904,4096,1.0,1.0,4075,729,10634.528291993774,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,10,1808,1808,4096,1.0,1.0,4048,677,10805.08195800212,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,4,1808,1808,4096,1.0,1.0,4047,795,17326.463416997285,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,8,3254,362,4096,1.0,1.0,4090,782,12661.009249997733,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,5,1808,1808,4096,1.0,1.0,4047,726,7778.8065830027335,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,7,904,2712,4096,1.0,1.0,4026,709,12592.326250000042,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,4,0,3616,4096,1.0,1.0,3999,746,11274.857457996404,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,7,2712,904,4096,0.9,0.9,4075,840,15973.042625002563,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,reason_first,9,3254,362,4096,1.0,1.0,4090,803,12048.218249998172,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,3,3254,362,4096,1.0,1.0,4090,729,11121.44774999615,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,9,904,2712,4096,1.0,1.0,4026,669,11141.052999999374,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,6,1808,1808,4096,1.0,1.0,4047,680,13184.01466600335,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,10,3254,362,4096,1.0,1.0,4090,872,17094.67399999994,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,8,2712,904,4096,1.0,1.0,4075,676,11164.202457999636,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,7,1808,1808,4096,1.0,1.0,4047,695,10241.642875000252,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,11,1808,1808,4096,1.0,1.0,4048,741,11571.310583000013,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,11,3254,362,4096,1.0,1.0,4090,761,15552.339541995025,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,8,1808,1808,4096,1.0,1.0,4047,790,11399.973457999295,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,5,0,3616,4096,1.0,1.0,3999,1024,17866.51283300307,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,11,2712,904,4096,1.0,1.0,4075,671,12256.727250001859,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,10,904,2712,4096,1.0,1.0,4026,704,10225.203709000198,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,7,0,3616,4096,1.0,1.0,3999,806,10255.375375003496,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,11,904,2712,4096,1.0,1.0,4026,661,11008.481208002195,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,12,904,2712,4096,1.0,1.0,4026,759,10684.677875004127,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,12,2712,904,4096,1.0,1.0,4075,698,8733.360417005315,1,1,1,1,1,1,1,1,1,1
