model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.25,coord_first,1,1963,5892,8192,0.9,1.0,8239,1024,14486.61508300006,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,2,1963,5892,8192,0.8,1.0,8239,1024,15086.346166999874,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,3,1963,5892,8192,0.8,1.0,8239,1024,14207.06112500011,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,4,1963,5892,8192,0.8,1.0,8239,1024,18565.616500000033,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,5,1963,5892,8192,0.8,1.0,8239,1024,14699.778790999972,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,6,1963,5892,8192,0.8,1.0,8239,1024,16642.036707999978,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,7,1963,5892,8192,0.8,1.0,8239,1024,13333.606041999701,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,8,1963,5892,8192,0.8,1.0,8239,1024,23831.474541999796,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,9,1963,5892,8192,0.8,1.0,8239,1024,18052.586041999803,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,10,1963,5892,8192,0.8,1.0,8239,1024,21989.623666999705,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,11,1963,5892,8192,0.8,1.0,8239,1024,18010.548124999787,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,12,1963,5892,8192,0.7,0.875,8239,1024,14186.587749999944,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,13,1963,5892,8192,0.8,1.0,8239,1024,30438.16033299936,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,14,1963,5892,8192,0.8,1.0,8239,1024,19705.550667000352,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,15,1963,5892,8192,0.8,1.0,8239,1024,22795.75075000048,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,16,1963,5892,8192,0.7,0.875,8239,1024,12826.345958000275,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,coord_first,17,1963,5892,8192,0.8,1.0,8239,1024,20733.322957999917,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,18,1963,5892,8192,0.8,1.0,8239,1024,15655.984666999757,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,19,1963,5892,8192,0.8,1.0,8239,1024,12715.639750000264,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,0,1963,5892,8192,0.8,1.0,8239,1024,14234.14200000002,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,1,1963,5892,8192,0.8,1.0,8239,1024,14543.584249999867,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,2,1963,5892,8192,0.8,1.0,8239,1024,16678.152540999916,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,3,1963,5892,8192,0.8,1.0,8239,1024,15513.72441600006,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,4,1963,5892,8192,0.8,1.0,8239,1024,15529.317750000018,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,5,1963,5892,8192,0.7,0.875,8239,1024,26631.444166000165,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,6,1963,5892,8192,0.7,0.875,8239,1024,17549.761292000312,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,7,1963,5892,8192,0.8,1.0,8239,1024,19605.136457999834,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,8,1963,5892,8192,0.9,1.0,8239,1024,16554.79491599999,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,9,1963,5892,8192,0.8,1.0,8239,1024,14311.548041000151,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,10,1963,5892,8192,0.8,1.0,8239,1024,13631.143667000288,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,11,1963,5892,8192,0.7,0.875,8239,1024,10494.453125000291,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,12,1963,5892,8192,0.8,1.0,8239,1024,13753.545000000031,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,13,1963,5892,8192,0.8,1.0,8239,1024,14811.850458000208,0,0,1,1,1,1,1,1,1,1
